"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Start Date","Completion Date","Locations","URL"
11,"Efficacy and Safety of Oltipraz in the Patients With Liver Fibrosis and Cirrhosis","Completed","No Results Available","Liver Fibrosis|Liver Cirrhosis","Drug: oltipraz|Drug: placebo","HK inno.N Corporation","Phase 2","81","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","February 2006","February 2007","The Catholic University of Korea Holy Family Hospital, Sosa-Dong, Wonmi-Gu, Kyungki-Do, Korea, Republic of|The Catholic University of Korea Seoul St. Mary's Hospital, Banpo-Dong, Seocho-Gu, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT00956098"
12,"Pilot Study of Simtuzumab in the Treatment of Liver Fibrosis","Completed","No Results Available","Liver Fibrosis","Biological: Simtuzumab","Gilead Sciences","Phase 2","20","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","November 2011","August 2013","Weill Cornell Medical College: NewYork-Presbyterian Hospital, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01452308"
13,"Phase 1b/2, Open Label, Repeat Dose, Dose Escalation Study of ND-L02-s0201 Injection in Subjects With Moderate to Extensive Fibrosis (METAVIR F3-4)","Completed","No Results Available","Moderate to Extensive Hepatic Fibrosis (METAVIR F3-4)","Drug: ND-L02-s0201 Injection","Bristol-Myers Squibb|Nitto Denko Corporation","Phase 1","25","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","October 2014","May 2016","Texas Liver Institute, Austin, Texas, United States|Tokuda Hospital, Sofia, Bulgaria","https://ClinicalTrials.gov/show/NCT02227459"
14,"Prevention of Disease Progress in Chronic Hepatitis C Patients With Liver Fibrosis (Study P02570AM2)(COMPLETED)","Completed","Has Results","Chronic Hepatitis C|Liver Fibrosis","Biological: peginterferon alfa-2b (SCH 54031)","Merck Sharp & Dohme Corp.","Phase 3","540","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","October 2002","October 2009",,"https://ClinicalTrials.gov/show/NCT00049842"
15,"Transplantation of Autologous Mesenchymal Stem Cell in Decompensate Cirrhotic Patients With Pioglitazone","Completed","No Results Available","Liver Fibrosis","Biological: Cell injection","Royan Institute","Phase 1","3","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","June 2010","July 2013","Royan Institute, Tehran, Iran, Islamic Republic of","https://ClinicalTrials.gov/show/NCT01454336"
16,"A Study of Experimental Medication BMS-986036 in Adults With Nonalcoholic Steatohepatitis (NASH) and Stage 3 Liver Fibrosis","Active, not recruiting","No Results Available","Liver Fibrosis|Nonalcoholic Fatty Liver Disease (NAFLD)|Nonalcoholic Steatohepatitis","Drug: BMS-986036|Other: Placebo","Bristol-Myers Squibb","Phase 2","160","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","May 7, 2018","December 20, 2021","North Alabama GI Research Center, Madison, Alabama, United States|Arizona Liver Health, Chandler, Arizona, United States|Saint Josephs Hospital and Medical Center, Phoenix, Arizona, United States|Mayo Clinic - Arizona, Phoenix, Arizona, United States|The Institute for Liver Health - Tuscon, Tucson, Arizona, United States|Southern California Research Center, Coronado, California, United States|Kindred Medical Institute for Clinical Trials, Corona, California, United States|University of California San Diego, La Jolla, California, United States|Ruane Clinical Research Group, Los Angeles, California, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|GastroIntestinal Biosciences, Los Angeles, California, United States|Catalina Research Institute, Montclair, California, United States|Kaiser Permanente, Oakland, California, United States|Diverse Research Solutions, Oxnard, California, United States|California Liver Research Institute, Pasadena, California, United States|Huntington Medical Research Institutes - HMRI Liver Center, Pasadena, California, United States|Stanford Center for Clinical Research, Redwood City, California, United States|Inland Empire Liver Foundation, Rialto, California, United States|Southern California Liver Centers - San Clemente, San Clemente, California, United States|Medical Associates Research Group, San Diego, California, United States|California Pacific Medical Center, San Francisco, California, United States|Bridgeport Hospital, Bridgeport, Connecticut, United States|MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Clinical Research of South Florida - Coral Gables, Coral Gables, Florida, United States|Top Medical Research, Cutler Bay, Florida, United States|University of Florida Hepatology Research at CTRB, Gainesville, Florida, United States|Clinical Research of Homestead, Homestead, Florida, United States|Mayo Clinic - Jacksonville, Jacksonville, Florida, United States|Florida Research Institute, Lakewood Ranch, Florida, United States|University of Miami Hospital and Clinics, Miami, Florida, United States|A+ Research, Miami, Florida, United States|IMIC Research, Miami, Florida, United States|Sensible Healthcare, Ocoee, Florida, United States|Synexus Clinical Research - Orlando, Orlando, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|GI Specialists of Georgia, Marietta, Georgia, United States|Tandem Clinical Research, Marrero, Louisiana, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, United States|Ochsner Medical Center, New Orleans, Louisiana, United States|Mercy Medical Center - McAuley Plaza, Baltimore, Maryland, United States|Digestive Disease Associates, Catonsville, Maryland, United States|Boston Medical Center, Boston, Massachusetts, United States|NECCR PrimaCare Research, Fall River, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Clinical Research Professionals, Chesterfield, Missouri, United States|Saint Lukes Hospital - Kansas City, Kansas City, Missouri, United States|Saint Louis University, Saint Louis, Missouri, United States|University at Buffalo, Buffalo, New York, United States|Northwell Health, Manhasset, New York, United States|Mount Sinai Hospital, New York, New York, United States|New York University, New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Carolinas Medical Center - Transplant Center, Charlotte, North Carolina, United States|Northeast GI Research Division, Concord, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center - Center for Liver Disease, Pittsburgh, Pennsylvania, United States|Gastro One, Germantown, Tennessee, United States|Associates in Gastroenterology, Hermitage, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Texas Clinical Research Institute, Arlington, Texas, United States|The Liver Institute at Methodist Dallas Medical Center, Dallas, Texas, United States|Liver Center of Texas, Dallas, Texas, United States|Texas Digestive Disease Consultants - Dallas, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Texas Digestive Disease Consultants - Southlake, Fort Worth, Texas, United States|Spring Gastroenterology, Houston, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Pinnacle Clinical Research - San Antonio, Rollingwood, Texas, United States|The Texas Liver Institute, San Antonio, Texas, United States|Clinical Trials of Texas, San Antonio, Texas, United States|Pinnacle Clinical Research - San Antonio, San Antonio, Texas, United States|University of Vermont Medical Center, Burlington, Vermont, United States|University of Virginia Health System, Charlottesville, Virginia, United States|Inova Fairfax Hospital, Falls Church, Virginia, United States|Gastroenterology Associates, PC, Manassas, Virginia, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|The Gastroenterology Group, Reston, Virginia, United States|Bon Secours Liver Institute of Richmond, Richmond, Virginia, United States|Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Kurume University Hospital, Kurume, Fukuoka, Japan|Yokohama City University Hospital, Yokohama-shi, Kanagawa, Japan|Nara Medical University Hospital, Kashihara, Nara, Japan|Toranomon Hospital, Minato, Tokyo, Japan|Keio University Hospital, Shinjuku-ku, Tokyo, Japan|Fukushima Medical University Hospital, Fukushima, Japan","https://ClinicalTrials.gov/show/NCT03486899"
17,"A Study to Evaluate a Study Drug, DCB-BO1202, for Alleviating Liver Fibrosis in Liver Cancer Patients","Withdrawn","No Results Available","Liver Fibrosis|HEPATITIS B CHRONIC|Hepatocellular Carcinoma","Drug: DCB-BO1202|Drug: Placebo|Drug: DCB-BO1202+Placebo","A2 Healthcare Taiwan Corporation|GoldenMed BioTechnology","Phase 2","0","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","January 2020","December 2021","National Taiwan University Hospital, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT02289300"
18,"The Effects of Resveratrol Supplement on Biochemical Factors and Hepatic Fibrosis in Patients With Nonalcoholic Steatohepatitis","Completed","No Results Available","Non Alcoholic Fatty Liver","Dietary Supplement: Resveratrol|Other: placebo","Dr Azita Hekmatdoost|National Nutrition and Food Technology Institute","Phase 2|Phase 3","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","June 2012","March 2013",,"https://ClinicalTrials.gov/show/NCT02030977"
19,"The Effects of Flaxseed Supplement on Biochemical Factors and Hepatic Fibrosis in Patients With Nonalcoholic Fatty Liver Disease","Completed","No Results Available","Non Alcoholic Steatohepatitis","Dietary Supplement: Flaxseed|Other: control","National Nutrition and Food Technology Institute","Phase 2|Phase 3","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","March 2014","January 2015",,"https://ClinicalTrials.gov/show/NCT02395900"
20,"Safety and Efficacy Study of Interferon Gamma-1b in Hepatitis C Patients With Liver Fibrosis or Cirrhosis","Completed","No Results Available","Liver Fibrosis|Cirrhosis","Drug: interferon gamma-1b","InterMune","Phase 2","502","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","September 2001","November 2003",,"https://ClinicalTrials.gov/show/NCT00043303"
21,"The Effects of Synbiotics Supplement on Biochemical Factors and Hepatic Fibrosis in Patients With Nonalcoholic Steatohepatitis","Completed","No Results Available","Non Alcoholic Steatohepatitis","Dietary Supplement: synbiotic|Other: placebo","National Nutrition and Food Technology Institute","Phase 2|Phase 3","54","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","March 2012","January 2013",,"https://ClinicalTrials.gov/show/NCT01791959"
22,"Interest of Ribavirin in the Maintenance Treatment of Liver Fibrosis Using Low Dose Pegylated Interferon alpha2b in Patients With Chronic Hepatitis C Non Responders to Previous Antiviral Therapy.","Completed","No Results Available","Hepatitis C, Chronic|Liver Fibrosis","Biological: Peginterferon alfa-2b|Drug: Ribavirin|Drug: Ribavirin-Placebo","French National Institute for Health and Medical Research-French National Agency for Research on AIDS and Viral Hepatitis (Inserm-ANRS)|Merck Sharp & Dohme Corp.|Rennes University Hospital","Phase 2|Phase 3","372","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","May 2006","March 2013","CHU Brugmann, Bruxelles, Belgium|Hôpital Bracops, Bruxelles, Belgium|Hôpital Erasme, Bruxelles, Belgium|Hôpital de Jolimont, La Louvière, Belgium|CHU Sart Tilman, Liège, Belgium|Service d'Hépatogastroentérologie et d'endoscopie digestive - CH du Pays d'Aix, Aix en Provence, France|Hôpital Nord, Amiens, France|Service d'Hépatogastroentérologie - Hôpital Nord, Amiens, France|Service d'Hépatologie - Gastroentérologie - Cancérologie digestive - CHU Angers, Angers, France|Centre Hospitalier Victor Dupouy, Argenteuil, France|Service d'Hépatogastroentérologie - Hôpital Avicenne, Bobigny, France|Service d' Hépatogastroentérologie - Hôpital Jean Verdier, Bondy, France|Service d'Hépatogastroentérologie et d'Assistance nutritive - Hôpital Haut-Lévêque, Bordeaux Pessac, France|CH Pierre OUDOT, Bourgoin-Jallieu, France|Service d'Hépatogastroentérologie - Hôpital de la Cavale Blanche, Brest, France|Service d'Hépatologie - Gastroentérologie - Nutrition -Hôpital de la Côte de Nacre, Caen, France|Centre Hospitalier, Châteauroux, France|Service d'Hépatogastroentérologie - CHU d'ESTAING, Clermont-Ferrand, France|Service d'Hépatogastroentérologie - Hôpital Beaujon, Clichy, France|Service d'Hépatogastroentérologie - CH Sud Francilien, Corbeil-Essonnes, France|Service d'Hépatogastroentérologie - Hôpital du Bocage, Dijon, France|Hôpital Nord, Grenoble, France|Service d'Hépatogastroentérologie - CH La Roche sur Yon, La Roche sur Yon, France|Service des Maladies du Foie et de l'appareil Digestif - Hôpital de Bicêtre, Le Kremlin-Bicêtre, France|Département d'Hépatogastroentérologie - CH Le Mans, Le Mans, France|Service d'Hépatogastroentérologie - CHRU - Hôpital Claude Huriez, Lille, France|Service d'Hépatogastroentérologie - Hotel de la Croix Rousse, Lyon, France|Service d'Hépatogastroentérologie - Hôpital Saint Joseph, Marseille, France|Service d'Hépatogastroentérologie - CH Montauban, Montauban, France|Service d'Hépatogastroentérologie - CH Montélimar, Montelimar, France|Service d'Hépatogastroentérologie - Hôpital Saint Eloi, Montpellier, France|Service d'Hépatogastroentérologie - Hôtel Dieu, Nantes, France|Hôpital de l'Archet, Nice, France|Service d'Hépatogastroentérologie - Hôpital de la Source, Orléans, France|Service d'Hépatogastroentérologie - Hôpital La Pitié Salpétrière, Paris, France|Service d'Hépatogastroentérologie - Hôpital Tenon, Paris, France|Service d'Hépatogastroentérologie - Hôpital Pontchaillou, Rennes, France|Service d'Hépatogastroentérologie - CHU Rouen, Rouen, France|Centre Hospitalier, Saint Quentin, France|Service d'Hépatogastroentérologie, Clinique médicale B - Hôpital Civil, Strasbourg, France|Hôpital Purpan, Toulouse, France|Service d'Hépatogastroentérologie - Hôpital Purpan, Toulouse, France|Service d'Hépatogastroentérologie - Hôpital Trousseau, Tours, France|Service d'Hépatogastroentérologie - Hôpital Brabois, Vandoeuvre les Nancy, France|Hôpita Paul Brousse, Villejuif, France","https://ClinicalTrials.gov/show/NCT00323804"
